applicant_id,age,mothly_income,investment_income,savings_account_balance,checking_account_balance,credit_card_balance,other_loans_balance,loan_amount_requested,installment,loan_date,loan_purpose,state,city,credit_score,loan_amount,interest_rate,loan_term,employment_status,employment_duration,marital_status,dependents,education_level,residential_status,years_at_residence,bank_account_age,previous_defaults,default
A1000,56,14300.66,4970.31,14876.86,42372.89,569.14,8652.71,21508.47,1058.92,2020-01-01,Personal,NY,North Melissa,744.0,202871.3,0.0636,48,Employed,3,Single,2,Bachelors,Rented,23,17,0,0
A1001,69,4383.25,2686.78,85453.24,1353.43,14322.42,23203.16,37520.0,115.87,2020-01-02,Education,NY,Ashleyborough,977.0,212348.28,0.1716,24,Employed,1,Single,3,High School,Rented,23,0,2,0
A1002,46,6003.69,3550.55,61857.79,10458.77,18613.66,5507.74,87187.16,4864.27,2020-01-03,Education,TX,New Jessica,387.0,62423.21,0.0726,48,Employed,3,Single,3,Bachelors,Owned,26,15,0,1
A1003,32,17080.58,281.05,60944.98,44085.33,12644.98,32651.83,21750.34,3797.93,2020-01-04,Education,TX,Lake Anthony,661.0,234451.61,0.0847,60,Employed,18,Single,3,Bachelors,Owned,3,6,1,0
A1004,60,5372.16,3158.68,92134.06,2955.01,14530.57,8461.44,21404.46,1888.75,2020-01-05,Home,FL,New Carla,902.0,46171.28,0.0651,12,Employed,15,Married,4,Bachelors,Owned,5,17,2,1
A1005,25,2841.66,3823.25,24883.16,11349.42,16478.69,43196.59,26789.41,2220.66,2020-01-06,Education,IL,East Scottport,648.0,137283.11,0.1619,60,Employed,18,Single,2,High School,Owned,11,9,2,0
A1006,38,14510.68,3892.57,23958.76,17562.52,7233.49,35023.13,57891.45,2740.42,2020-01-07,Car,NY,Jonestown,522.0,489836.01,0.104,60,Employed,13,Single,3,Bachelors,Owned,12,10,0,0
A1007,56,8946.74,3850.56,51319.36,37537.03,2162.27,44575.56,52548.13,3621.28,2020-01-08,Car,IL,Williambury,780.0,452945.22,0.1935,24,Unemployed,18,Married,2,Bachelors,Rented,20,7,2,0
A1008,36,18520.74,1131.41,75086.31,28009.03,18661.85,4351.55,18356.88,947.36,2020-01-09,Car,CA,New Mark,735.0,312549.45,0.1677,12,Employed,11,Single,2,Bachelors,Owned,6,9,0,1
A1009,40,13529.72,4876.99,44724.07,47730.24,18771.41,39925.47,69504.93,1059.07,2020-01-10,Personal,FL,Benjaminchester,722.0,357844.65,0.1263,12,Employed,9,Married,2,High School,Rented,27,13,1,0
A1010,28,3172.75,4975.91,63389.14,11393.75,8836.81,44040.24,90846.46,336.52,2020-01-11,Personal,TX,Heatherton,510.0,122613.0,0.1631,60,Employed,12,Married,1,Bachelors,Owned,21,10,0,1
A1011,28,19035.35,377.98,45252.47,43606.02,4343.39,2228.49,20684.06,4930.39,2020-01-12,Home,FL,East Pamela,456.0,76289.61,0.1732,12,Employed,10,Married,4,PhD,Rented,25,5,1,1
A1012,41,6283.31,4682.23,61038.72,14145.67,17847.09,49953.8,67622.43,4390.3,2020-01-13,Education,TX,New Thomasstad,700.0,277735.39,0.1859,60,Employed,0,Married,4,Bachelors,Owned,23,7,2,0
A1013,53,7738.43,1447.25,82226.23,12274.91,14168.53,15032.22,59052.07,2809.49,2020-01-14,Home,FL,Cynthiamouth,716.0,449522.5,0.0436,12,Employed,2,Married,4,PhD,Owned,18,11,1,0
A1014,57,8941.82,3446.42,18047.67,24918.76,164.57,10586.06,33564.96,2208.34,2020-01-15,Home,FL,South Mario,342.0,417009.4,0.1662,48,Employed,8,Married,4,Bachelors,Rented,9,14,1,0
A1015,41,2447.65,1690.55,69537.85,3560.23,2154.39,20745.26,62165.23,1263.46,2020-01-16,Education,TX,Smithside,767.0,296631.97,0.0613,48,Employed,1,Single,4,High School,Owned,7,1,2,0
A1016,20,10685.54,4838.77,78742.57,19215.35,19663.99,431.77,21780.98,3015.42,2020-01-17,Car,CA,East Sophiaborough,688.0,492425.51,0.1857,60,Unemployed,13,Single,0,Bachelors,Owned,19,17,0,1
A1017,39,3781.39,507.52,44711.14,17783.8,762.56,44295.32,83561.53,3483.5,2020-01-18,Home,FL,New Sarastad,914.0,127765.76,0.0619,36,Self-Employed,0,Single,1,Bachelors,Owned,27,13,2,0
A1018,19,8917.95,2488.73,32323.36,8005.08,5651.1,13424.54,3199.0,3477.0,2020-01-19,Education,NY,Henryside,601.0,384583.88,0.0593,60,Employed,14,Married,1,High School,Rented,20,2,1,0
A1019,41,7988.13,2140.24,1354.43,43039.74,10969.93,26079.58,57139.23,131.54,2020-01-20,Car,FL,West Ronald,683.0,145414.74,0.114,48,Employed,2,Single,3,Masters,Rented,27,3,0,1
